"Day number","Alive animals count","Plants number","Dead animals count","Free places on map","Average living animals energy","Average dead animals lifespan","Average children number for living animals","The most popular genotype"
"1","10","33","0","182","118.0","0.0","0.0","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"2","11","40","0","177","105.81818181818181","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"3","11","46","0","169","104.72727272727273","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"4","11","51","0","164","104.0909090909091","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"5","11","58","0","158","102.54545454545455","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"6","11","64","0","152","101.45454545454545","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"7","11","68","0","148","101.27272727272727","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"8","11","74","0","143","100.18181818181819","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"9","11","80","0","135","99.0909090909091","0.0","0.18181818181818182","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"10","12","86","0","131","89.75","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"11","12","94","0","121","87.75","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"12","12","97","0","119","87.83333333333333","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"13","12","100","0","115","87.91666666666667","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"14","12","104","0","111","87.58333333333333","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"15","12","108","0","109","87.25","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"16","12","112","0","103","86.91666666666667","0.0","0.3333333333333333","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"17","13","117","0","99","79.46153846153847","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"18","13","120","0","93","79.38461538461539","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"19","13","123","0","91","79.3076923076923","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"20","13","126","0","87","79.23076923076923","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"21","13","129","0","85","79.15384615384616","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"22","13","131","0","83","79.46153846153847","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"23","13","133","0","83","79.76923076923077","0.0","0.46153846153846156","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"24","14","135","0","82","74.28571428571429","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"25","14","136","0","78","74.78571428571429","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"26","14","138","0","75","74.92857142857143","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"27","14","140","0","73","75.07142857142857","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"28","14","141","0","72","75.57142857142857","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"29","14","138","0","74","77.5","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"30","14","137","0","79","78.71428571428571","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"31","14","138","0","76","79.21428571428571","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"32","14","138","0","78","80.07142857142857","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"33","14","140","0","75","80.21428571428571","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"34","14","138","0","79","81.78571428571429","0.0","0.5714285714285714","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"35","15","139","0","78","76.73333333333333","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"36","15","139","0","78","77.4","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"37","15","139","0","78","78.06666666666666","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"38","15","138","0","78","79.06666666666666","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"39","15","135","0","81","80.73333333333333","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"40","15","134","0","80","81.73333333333333","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
"41","15","135","0","79","82.06666666666666","0.0","0.6666666666666666","[5, 7, 5, 6, 5, 1, 6, 2, 0, 7]"
