"Day number","Alive animals count","Plants number","Dead animals count","Free places on map","Average living animals energy","Average dead animals lifespan","Average children number for living animals","The most popular genotype"
"0","0","0","0","0","0.0","0.0","0.0","[]"
"1","11","22","0","193","109.9090909090909","0.0","0.18181818181818182","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"2","11","26","0","188","109.18181818181819","0.0","0.18181818181818182","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"3","12","31","0","183","99.16666666666667","0.0","0.3333333333333333","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"4","12","32","0","181","99.16666666666667","0.0","0.3333333333333333","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"5","12","35","0","178","98.66666666666667","0.0","0.3333333333333333","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"6","12","38","0","176","98.16666666666667","0.0","0.3333333333333333","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"7","12","41","0","172","97.66666666666667","0.0","0.3333333333333333","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"8","12","45","0","168","96.91666666666667","0.0","0.3333333333333333","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"9","13","48","0","165","89.0","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"10","13","51","0","163","88.46153846153847","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"11","13","53","0","160","88.15384615384616","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"12","13","57","0","156","87.38461538461539","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"13","13","60","0","154","86.84615384615384","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"14","13","63","0","150","86.3076923076923","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"15","13","65","0","149","86.0","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"16","13","68","0","146","85.46153846153847","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"17","13","69","0","146","85.38461538461539","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"18","13","73","0","143","84.61538461538461","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"19","13","78","0","139","83.61538461538461","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"20","13","80","0","135","83.3076923076923","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"21","13","80","0","136","83.46153846153847","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"22","13","83","0","134","82.92307692307692","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
"23","13","86","0","131","82.38461538461539","0.0","0.46153846153846156","[5, 3, 1, 7, 4, 2, 0, 5, 3, 1]"
