"Day number","Alive animals count","Plants number","Dead animals count","Free places on map","Average living animals energy","Average dead animals lifespan","Average children number for living animals","The most popular genotype"
"1","10","20","0","195","120.0","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"2","10","25","0","190","119.0","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"3","10","29","0","186","118.3","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"4","10","33","0","182","117.6","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"5","10","38","0","178","116.6","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"6","10","41","0","174","116.2","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"7","10","45","0","170","115.5","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"8","10","47","0","168","115.4","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"9","10","48","0","167","115.6","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"10","10","52","0","164","114.9","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"11","10","54","0","161","114.8","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"12","10","59","0","156","113.8","0.0","0.0","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"13","11","61","0","153","103.27272727272727","0.0","0.18181818181818182","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"14","12","61","0","152","94.91666666666667","0.0","0.3333333333333333","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"15","12","63","0","150","94.66666666666667","0.0","0.3333333333333333","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"16","12","67","0","147","93.91666666666667","0.0","0.3333333333333333","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"17","13","69","0","143","86.38461538461539","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"18","13","70","0","142","86.3076923076923","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"19","13","71","0","141","86.23076923076923","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"20","13","76","0","136","85.23076923076923","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"21","13","79","0","133","84.6923076923077","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"22","13","83","0","129","83.92307692307692","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"23","13","85","0","127","83.61538461538461","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"24","13","88","0","124","83.07692307692308","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"25","13","91","0","122","82.53846153846153","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"26","13","93","0","120","82.23076923076923","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"27","13","90","0","123","83.07692307692308","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"28","13","91","0","121","83.0","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"29","13","93","0","119","82.6923076923077","0.0","0.46153846153846156","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"30","14","95","0","116","76.42857142857143","0.0","0.5714285714285714","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"31","15","97","0","113","70.93333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"32","15","97","0","114","70.93333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"33","15","96","0","115","71.13333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"34","15","97","0","116","70.93333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"35","15","98","0","112","70.73333333333333","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"36","15","97","0","114","70.93333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"37","15","96","0","115","71.13333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"38","15","95","0","115","71.33333333333333","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"39","15","91","0","119","72.13333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"40","15","91","0","120","72.13333333333334","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"41","15","94","0","118","71.53333333333333","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"42","15","95","0","117","71.33333333333333","0.0","0.6666666666666666","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"43","16","96","0","113","66.625","0.0","0.75","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"44","17","96","0","115","62.588235294117645","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"45","17","96","0","112","62.470588235294116","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"46","17","97","0","112","62.1764705882353","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"47","17","94","0","115","62.588235294117645","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"48","17","95","0","114","62.294117647058826","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"49","17","93","0","115","62.529411764705884","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"50","17","93","0","116","62.411764705882355","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"51","17","92","0","117","62.470588235294116","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"52","17","93","0","116","62.1764705882353","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"53","17","92","0","116","62.23529411764706","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
"54","17","92","0","116","62.11764705882353","0.0","0.8235294117647058","[4, 2, 4, 5, 2, 5, 7, 3, 6, 7]"
