"Day number","Alive animals count","Plants number","Dead animals count","Free places on map","Average living animals energy","Average dead animals lifespan","Average children number for living animals","The most popular genotype"
"0","0","0","0","0","0.0","0.0","0.0","[]"
"1","10","24","0","194","120.3","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"2","10","29","0","191","119.3","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"3","10","34","0","185","118.3","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"4","10","38","0","181","117.6","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"5","10","43","0","176","116.6","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"6","10","45","0","175","116.5","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"7","10","49","0","170","115.8","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"8","10","53","0","167","115.1","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"9","10","56","0","163","114.7","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"10","10","58","0","161","114.6","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"11","10","62","0","156","113.9","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"12","10","65","0","154","113.5","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"13","10","68","0","149","113.1","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"14","10","69","0","148","113.3","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"15","10","71","0","145","113.2","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"16","10","72","0","144","113.4","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"17","10","72","0","145","113.9","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"18","10","74","0","144","113.8","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
"19","10","78","0","141","113.1","0.0","0.0","[3, 3, 0, 2, 1, 5, 3, 1, 6, 6]"
